,Price,Open,High,Low,Market_State
2025-07-12,3355.3042,3346.622,3391.5066,3332.4172,volatile
2025-07-13,3319.844,3313.0178,3349.4526,3288.1245,volatile
2025-07-14,3264.8115,3259.2217,3284.5444,3223.2737,volatile
2025-07-15,3174.1545,3169.0784,3179.5095,3124.7908,volatile
2025-07-16,3054.7683,3051.3533,3048.4338,3006.6963,volatile
